row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name
33,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['refin', 'the', 'solut', 'product', 'and', 'mainten', 'are', 'all', 'influenc', 'by', 'the', 'test', 'stage']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.0,5,science,texas
34,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['elabor', 'construct', 'and', 'transit', 'are', 'all', 'affect', 'by', 'test']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",2.0,5,science,texas
35,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['refin', 'product', 'mainten']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.5,5,science,texas
36,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['refin', 'the', 'solut']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",4.0,5,science,texas
37,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,['name'],"['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",2.0,5,science,texas
38,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['refin', 'and', 'code']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",5.0,5,science,texas
39,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['the', 'second', 'half', 'of', 'the', 'elabor', 'phase', 'construct', 'phase', 'and', 'the', 'transit', 'phase']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",2.5,5,science,texas
40,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['the', 'refin', 'step', 'the', 'product', 'step', 'and', 'the', 'mainten', 'stage']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.5,5,science,texas
41,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['elabor', 'construct', 'transit']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",2.0,5,science,texas
42,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,['refin'],"['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.0,5,science,texas
43,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['the', 'test', 'stage', 'has', 'a', 'direct', 'influenc', 'on', 'the', 'final', 'version', 'of', 'a', 'program', 'be', 'as', 'it', 'is', 'the', 'debug', 'and', 'final', 'of', 'a', 'softwar', 'revis']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",1.5,5,science,texas
44,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['direct', 'refin', 'code', 'becaus', 'refin', 'is', 'right', 'befor', 'the', 'test', 'phase', 'and', 'code', 'is', 'right', 'after', 'the', 'test', 'phase', 'indirect', 'product', 'mainten', 'becaus', 'refin', 'occur', 'befor', 'these', 'last', 'two', 'stage', 'in', 'the', 'softwar', 'life', 'cycl']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",5.0,5,science,texas
45,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['test', 'refin', 'product', 'and', 'mainten']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.5,5,science,texas
46,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['depend', 'on', 'how', 'the', 'work', 'is', 'done', 'test', 'is', 'spread', 'throughout', 'the', 'process', 'as', 'to', 'prevent', 'error', 'from', 'show', 'up', 'later', 'on', 'due', 'to', 'lack', 'of', 'foresight']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",1.5,5,science,texas
47,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['elabor', 'construct', 'and', 'transit']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",2.5,5,science,texas
48,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['all', 'stage', 'are', 'influenc', 'except', 'set', 'the', 'program', 'requir', 'if', 'a', 'test', 'fail', 'it', 'can', 'chang', 'the', 'whole', 'design', 'implement', 'etc', 'of', 'a', 'program', 'as', 'well', 'as', 'the', 'final', 'outcom']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",1.5,5,science,texas
49,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['refin', 'product', 'and', 'mainten']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.0,5,science,texas
50,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['code', 'and', 'refin']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",5.0,5,science,texas
51,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['refin', 'product', 'mainten']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.5,5,science,texas
52,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['remov', 'logic', 'error', 'test', 'for', 'valid', 'data', 'random', 'data', 'and', 'actual', 'data']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",1.0,5,science,texas
53,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['1', 'specif', '2', 'design', '3', 'risk', 'analysi', '4', 'verif', '5', 'code', '6', 'test', '7', 'refin', '8', 'product', '9', 'mainten']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",2.5,5,science,texas
54,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['refin', 'stage', 'product', 'stage', 'and', 'mainten', 'stage']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.5,5,science,texas
55,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['test', 'could', 'affect', 'all', 'part', 'of', 'the', 'life', 'cycl', 'it', 'could', 'make', 'you', 'go', 'back', 'to', 'specif', 'if', 'it', 'doe', 'not', 'test', 'well']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",2.0,5,science,texas
56,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,['code'],"['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",3.0,5,science,texas
57,"['what', 'stage', 'in', 'the', 'softwar', 'life', 'cycl', 'are', 'influenc', 'by', 'the', 'test', 'stage']",132,"['the', 'individu', 'compon', 'and', 'step', 'such', 'as', 'analysi', 'design', 'and', 'implement', 'code', 'as', 'well', 'as', 'the', 'entir', 'system', 'are', 'test', 'for', 'execut', 'of', 'the', 'requir', 'identifi', 'dure', 'the', 'analysi', 'stage', 'ie', 'main', 'output']","['the', 'test', 'stage', 'can', 'influenc', 'both', 'the', 'code', 'stage', 'phase', '5', 'and', 'the', 'solut', 'refin', 'stage', 'phase', '7']",1.5,5,science,texas
58,"['what', 'are', 'the', 'main', 'advantag', 'associ', 'with', 'objectori', 'program']",133,"['modular', 'the', 'abil', 'to', 'reus', 'part', 'of', 'the', 'program', 'later', 'in', 'anoth', 'program', 'sometim', 'with', 'complet', 'differ', 'goal', 'for', 'the', 'program', 'also', 'it', 'make', 'it', 'easier', 'to', 'debug', 'code', 'by', 'divid', 'up', 'the', 'code', 'into', 'class', 'that', 'each', 'do', 'a', 'specif', 'job', 'and', 'when', 'the', 'program', 'fail', 'at', 'one', 'job', 'you', 'onli', 'have', 'one', 'class', 'to', 'debug', 'good', 'for', 'secur', 'purpos', 'becaus', 'it', 'allow', 'you', 'to', 'let', 'someon', 'use', 'a', 'program', 'which', 'sort', 'list', 'without', 'have', 'to', 'give', 'them', 'access', 'to', 'the', 'sourc', 'code', 'also', 'allow', 'you', 'to', 'use', 'inherit', 'and', 'polymorph']","['abstract', 'and', 'reliabl']",4.5,5,science,texas
59,"['what', 'are', 'the', 'main', 'advantag', 'associ', 'with', 'objectori', 'program']",133,"['this', 'type', 'of', 'program', 'is', 'more', 'flexibl', 'make', 'it', 'easier', 'to', 'add', 'and', 'modifi', 'the', 'program', 'it', 'is', 'also', 'a', 'type', 'of', 'a', 'fail', 'safe', 'program', 'you', 'check', 'each', 'individu', 'modul', 'this', 'elimin', 'redund', 'code', 'and', 'make', 'the', 'program', 'easier', 'to', 'read', 'for', 'other', 'programm', 'when', 'debug', 'the', 'program', 'it', 'is', 'easier', 'to', 'track', 'down', 'the', 'sourc', 'of', 'a', 'problem', 'within', 'a', 'modul', 'rather', 'than', 'a', '2', 'million', 'line', 'program']","['abstract', 'and', 'reliabl']",5.0,5,science,texas
60,"['what', 'are', 'the', 'main', 'advantag', 'associ', 'with', 'objectori', 'program']",133,"['the', 'main', 'advantag', 'to', 'objectori', 'program', 'are', 'that', 'exist', 'class', 'can', 'be', 'reus', 'and', 'program', 'mainten', 'and', 'verif', 'are', 'easier']","['abstract', 'and', 'reliabl']",3.5,5,science,texas
61,"['what', 'are', 'the', 'main', 'advantag', 'associ', 'with', 'objectori', 'program']",133,"['the', 'advantag', 'is', 'that', 'oop', 'allow', 'us', 'to', 'build', 'class', 'of', 'object', 'three', 'principl', 'that', 'make', 'up', 'oop', 'are', 'encapsul', 'object', 'combin', 'data', 'and', 'oper', 'inherit', 'class', 'can', 'inherit', 'properti', 'from', 'other', 'class', 'polymorph', 'object', 'can', 'determin', 'appropri', 'oper', 'at', 'execut', 'time']","['abstract', 'and', 'reliabl']",2.5,5,science,texas
